793.636658	1564.9427778212462
793.755737	1442.3372832497193
793.874817	1338.2100996865875
793.993896	1242.0222428527711
794.112976	1158.620106978794
794.232056	1084.0503148703574
794.351074	1020.1521271482221
794.470215	972.8175063342862
794.589233	927.9741943380152
794.708313	886.5189188851134
794.827393	841.7679699708181
794.946411	807.9101108696422
795.065552	776.2123955993696
795.18457	747.3242306818661
795.303589	714.050037122443
795.422668	686.6887970746311
795.541687	651.4059472586175
795.660767	617.0319527855206
795.779846	583.7856298061955
795.898865	551.4283479810854
796.017883	521.0227288672106
796.136963	494.762832706367
796.255981	470.74085419225213
796.375061	438.6698142972549
796.49408	422.84981410657474
796.613037	398.54072026067433
796.732117	376.1953262302345
796.851135	360.3778002936134
796.970154	345.6668454721805
797.089233	338.5554418222488
797.208191	324.17414408826403
797.327271	312.2742292392867
797.446228	300.8142581321516
797.565186	289.4753918745371
797.684265	283.608176728776
797.803223	281.89818501072045
797.922241	291.4523108959229
798.04126	296.14898714865
798.160278	295.0751727750409
798.279297	311.9839639000809
798.398315	308.3682011698404
798.517273	309.31160198802644
798.636292	307.34084459734527
798.75531	300.03856294890716
798.874268	275.68082541538115
798.993286	263.94895887571977
799.112244	241.04405909220887
799.231323	210.95877675657113
799.350281	177.20439643633287
799.469238	148.57793967548386
799.588257	125.58179731505797
799.707153	96.12215709023602
799.826111	79.84560428533538
799.945129	76.14205635963341
800.064087	59.01383148556158
800.183044	37.458202399188025
800.302063	14.943362079378915
800.421021	-0.8294174523872186
800.539978	-16.36397687503765
800.658936	-20.667853326195115
800.777893	-26.247868232024416
800.896912	-15.972102324693338
801.015747	-28.083296063096356
801.134705	-47.66847492447728
801.253723	-57.346679938217704
801.37262	-62.88636730095445
801.491638	-76.73725867431483
801.610535	-86.61503205050174
801.729492	-87.91561888966973
801.84845	-99.24322960631275
801.967407	-104.11095864912645
802.086243	-111.74050645621651
802.205261	-113.15500599547957
802.324158	-114.65792870723602
802.443115	-124.55071992035785
802.562073	-122.26513658605373
802.680969	-124.84990450695177
802.799927	-142.7419918573879
802.918762	-137.86159314468742
803.037659	-144.7733345023123
803.156677	-161.1243822494901
803.275574	-159.3473242911893
803.39447	-159.7617300863668
803.513428	-161.83522637095717
803.632263	-174.23017796525903
803.751221	-174.87840521463588
803.870117	-178.23292961494812
803.989014	-173.11997604872477
804.107971	-172.78673474875555
804.226746	-169.80209689183496
804.345642	-161.77877400893047
804.4646	-170.13955604023616
804.583496	-171.07708224934998
804.702393	-179.81247783209088
804.821228	-185.60221217200217
804.940125	-187.0108857287409
805.059021	-187.37924188466855
805.177917	-192.80960395515612
805.296814	-189.42180447155272
805.415649	-177.41211610962944
805.534546	-165.668349806525
805.653442	-150.32268618466458
805.772278	-154.6138237649019
805.891113	-152.41402140889298
806.01001	-162.33729271142718
806.128906	-168.4223782417351
806.247742	-167.1893151211477
806.366577	-161.53846910018692
806.485413	-150.54427340386434
806.604309	-148.65822257151564
806.723145	-161.19975224460683
806.84198	-151.52996709904465
806.960876	-153.04847913920548
807.079712	-156.0633265063498
807.198486	-157.0546649879252
807.317383	-156.2639934850931
807.436218	-168.51501187772126
807.554993	-174.65954430345545
807.673889	-175.56389016744544
807.792725	-169.79629587656302
807.91156	-152.71351960440282
808.030396	-128.91899931557816
808.14917	-132.82718667045197
808.268005	-133.9766040005603
808.386841	-149.1608606393559
808.505676	-155.00482527147167
808.624451	-165.19255366345718
808.743286	-168.12212693646805
808.862122	-167.7792400087586
808.980896	-155.5578669870468
809.099731	-166.71942592088155
809.218506	-161.63752860992702
809.337341	-160.36245121243357
809.456116	-155.5546443782281
809.57489	-153.9454401658412
809.693726	-159.34495435473607
809.8125	-151.37633221496696
809.931274	-152.3931424633268
810.050049	-162.1311275338565
810.168884	-157.5531667640287
810.287659	-152.00562038868136
810.406372	-152.30160785371496
810.525269	-144.5399325934667
810.643982	-143.06500422340554
810.762756	-122.40990683893983
810.881531	-128.1855996733541
811.000305	-135.28843298106102
811.11908	-128.2996846530461
811.237854	-127.7877934181536
811.356567	-119.4998435126203
811.475403	-116.59391692204056
811.594116	-119.50871432515585
811.71283	-112.34825877352671
811.831604	-110.47984012423711
811.950378	-100.41299274143984
812.069153	-100.6614786401284
